ID,Name,Description,Contributor,Citation,Examples_Count
glossa4877,Distributionally constrained items in child language: the acquisition of superweak NPI shenme ‘a/some’ in Mandarin Chinese,,"Lin, Jing","Lin, Jing. 2017. Distributionally constrained items in child language: the acquisition of superweak NPI shenme ‘a/some’ in Mandarin Chinese. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",13
glossa4921,Reduplication in Russian verbs and adjectives: motivating form with morphosyntactic constraints,,"Enguehard, Guillaume","Enguehard, Guillaume. 2017. Reduplication in Russian verbs and adjectives: motivating form with morphosyntactic constraints. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",0
glossa4932,Looking forwards and backwards: The real-time processing of Strong and Weak Crossover,,"Kush, Dave and Lidz, Jeffrey and Phillips, Colin","Kush, Dave and Lidz, Jeffrey and Phillips, Colin. 2017. Looking forwards and backwards: The real-time processing of Strong and Weak Crossover. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",0
glossa4952,Seeking control in Modern Standard Arabic,,"Arad Greshler, Tali and Melnik, Nurit and Wintner, Shuly","Arad Greshler, Tali and Melnik, Nurit and Wintner, Shuly. 2017. Seeking control in Modern Standard Arabic. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",73
glossa4953,Universal quantifier PPIs,,"Zeijlstra, Hedde","Zeijlstra, Hedde. 2017. Universal quantifier PPIs. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",32
glossa4956,"Control, temporal orientation, and the cross-linguistic grammar of trying",,"Grano, Thomas","Grano, Thomas. 2017. Control, temporal orientation, and the cross-linguistic grammar of trying. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",17
glossa4958,2 + 2 = 3: Number contrasts in Blackfoot,,"Kim, Kyumin and Ritter, Elizabeth and Wiltschko, Martina and Rullmann, Hotze","Kim, Kyumin and Ritter, Elizabeth and Wiltschko, Martina and Rullmann, Hotze. 2017. 2 + 2 = 3: Number contrasts in Blackfoot. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",16
glossa4961,Branchingness constraints on heads and dependents in Munster Irish stress,,"Torres-Tamarit, Francesc and Hermans, Ben","Torres-Tamarit, Francesc and Hermans, Ben. 2017. Branchingness constraints on heads and dependents in Munster Irish stress. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",0
glossa4962,Preliminary remarks on the nominal phrase in Cape Verdean: The semantics of bare nouns cross-linguistically,,"Pires de Oliveira, Roberta and Martins, Jair","Pires de Oliveira, Roberta and Martins, Jair. 2017. Preliminary remarks on the nominal phrase in Cape Verdean: The semantics of bare nouns cross-linguistically. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",39
glossa4963,An fMRI study on the processing of long-distance wh-movement in a second language,,"Pliatsikas, Christos and Johnstone, Tom and Marinis, Theodoros","Pliatsikas, Christos and Johnstone, Tom and Marinis, Theodoros. 2017. An fMRI study on the processing of long-distance wh-movement in a second language. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",0
glossa4964,Co-speech gesture projection: Evidence from truth-value judgment and picture selection tasks,,"Tieu, Lyn and Pasternak, Robert and Schlenker, Philippe and Chemla, Emmanuel","Tieu, Lyn and Pasternak, Robert and Schlenker, Philippe and Chemla, Emmanuel. 2017. Co-speech gesture projection: Evidence from truth-value judgment and picture selection tasks. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",0
glossa4965,Gender exponence and apparent polarity in a class of Omani Mehri plurals,,"Fathi, Radwa","Fathi, Radwa. 2017. Gender exponence and apparent polarity in a class of Omani Mehri plurals. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",5
glossa4966,Resolving (DAT = ACC) ≠ GEN,,"Starke, Michal","Starke, Michal. 2017. Resolving (DAT = ACC) ≠ GEN. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",2
glossa4967,The primitives of the lexicon: Insights from aspect in idioms,,"Leivada, Evelina","Leivada, Evelina. 2017. The primitives of the lexicon: Insights from aspect in idioms. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",37
glossa4968,Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English,,"Childs, Claire","Childs, Claire. 2017. Integrating syntactic theory and variationist analysis: The structure of negative indefinites in regional dialects of British English. Glossa: a journal of general linguistics 2(1). Open Library of Humanities.",0
glossa4969,In support of representational economy: Agreement in heritage Spanish,,"Scontras, Gregory and Polinsky, Maria and Fuchs, Zuzanna","Scontras, Gregory and Polinsky, Maria and Fuchs, Zuzanna. 2018. In support of representational economy: Agreement in heritage Spanish. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",8
glossa4970,"History of focus-concord constructions and focus-associated particles in Sinhala, with comparison to Dravidian and Japanese",,"Slade, Benjamin","Slade, Benjamin. 2018. History of focus-concord constructions and focus-associated particles in Sinhala, with comparison to Dravidian and Japanese. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",85
glossa4971,"(Dis)agreement, polarity, and focus: Answering negative polar questions in Italian",,"Servidio, Emilio and Bocci, Giuliano and Bianchi, Valentina","Servidio, Emilio and Bocci, Giuliano and Bianchi, Valentina. 2018. (Dis)agreement, polarity, and focus: Answering negative polar questions in Italian. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",10
glossa4972,Redrawing the margins of language: Lessons from research on ideophones,,"Dingemanse, Mark","Dingemanse, Mark. 2018. Redrawing the margins of language: Lessons from research on ideophones. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa4973,"Intonation, yes and no",,"Goodhue, Daniel and Wagner, Michael","Goodhue, Daniel and Wagner, Michael. 2018. Intonation, yes and no. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",0
glossa4974,Constraints on Argument Linearization in German,,"Ellsiepen, Emilia and Bader, Markus","Ellsiepen, Emilia and Bader, Markus. 2018. Constraints on Argument Linearization in German. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",22
glossa4975,Subject Clitics: New Evidence from Old Nubian,,"van Gerven Oei, Vincent W. J.","van Gerven Oei, Vincent W. J. 2018. Subject Clitics: New Evidence from Old Nubian. Glossa: a journal of general linguistics 3(1). Open Library of Humanities.",43
