ID,Name,Description,Contributor,Citation,Examples_Count
glossa5180,Ergative is not inherent: Evidence from *ABA in suppletion and syncretism,,"Zompì, Stanislao","Zompì, Stanislao. 2019. Ergative is not inherent: Evidence from *ABA in suppletion and syncretism. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",4
glossa5181,Effects of syntactic structure on the comprehension of clefts,,"Lobo, Maria and Santos, Ana Lúcia and Soares-Jesel, Carla and Vaz, Stéphanie","Lobo, Maria and Santos, Ana Lúcia and Soares-Jesel, Carla and Vaz, Stéphanie. 2019. Effects of syntactic structure on the comprehension of clefts. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",29
glossa5182,Gothic <r> and Old High German <r>: Implications from phonological patterning,,"Kostakis, Andrew","Kostakis, Andrew. 2019. Gothic <r> and Old High German <r>: Implications from phonological patterning. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5183,Accompaniment by participation: The interpretation of mit as a free particle in German,,"Bücking, Sebastian","Bücking, Sebastian. 2019. Accompaniment by participation: The interpretation of mit as a free particle in German. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",103
glossa5184,"Classifiers, partitions, and measurements: Exploring the syntax and semantics of sortal classifiers",,"Bale, Alan and Coon, Jessica and López, Nicolás Arcos","Bale, Alan and Coon, Jessica and López, Nicolás Arcos. 2019. Classifiers, partitions, and measurements: Exploring the syntax and semantics of sortal classifiers. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",84
glossa5185,Repair or accommodation? Split antecedent ellipsis and the limits of repair,,"Frazier, Lyn and Duff, John","Frazier, Lyn and Duff, John. 2019. Repair or accommodation? Split antecedent ellipsis and the limits of repair. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5186,Bavarian German r-Flapping: Evidence for a dialect-specific sonority hierarchy,,"Noelliste, Erin","Noelliste, Erin. 2019. Bavarian German r-Flapping: Evidence for a dialect-specific sonority hierarchy. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",7
glossa5187,Brazilian Portuguese in-situ wh-interrogatives between rhetoric and change,,"Rosemeyer, Malte","Rosemeyer, Malte. 2019. Brazilian Portuguese in-situ wh-interrogatives between rhetoric and change. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",55
glossa5188,Possessors in switch-reference,,"Bárány, András and Nikolaeva, Irina","Bárány, András and Nikolaeva, Irina. 2019. Possessors in switch-reference. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",48
glossa5189,Agent defocusing in two-participant clauses in Finnish Sign Language,,"Nordlund, Sanna","Nordlund, Sanna. 2019. Agent defocusing in two-participant clauses in Finnish Sign Language. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",3
glossa5190,Correlate not optional: PP sprouting and parallelism in “much less” ellipsis,,"Harris, Jesse A. and Carlson, Katy","Harris, Jesse A. and Carlson, Katy. 2019. Correlate not optional: PP sprouting and parallelism in “much less” ellipsis. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5191,Clitic climbing (or lack thereof) and the Copy Theory of Movement,,"Julio, Villa-García","Julio, Villa-García. 2019. Clitic climbing (or lack thereof) and the Copy Theory of Movement. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",39
glossa5192,To be or not to be informational: Preverbal complements in Medieval French V2 configurations,,"Larrivée, Pierre","Larrivée, Pierre. 2019. To be or not to be informational: Preverbal complements in Medieval French V2 configurations. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",12
glossa5193,Telling allomorphy from agreement,,"Weisser, Philipp","Weisser, Philipp. 2019. Telling allomorphy from agreement. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",34
glossa5194,A movement theory of adjunct control,,"Green, Jeffrey J.","Green, Jeffrey J. 2019. A movement theory of adjunct control. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5195,Empty morphemes in Dutch dialect atlases: Reducing morphosyntactic variation by refining emptiness typology,,"Cavirani, Edoardo and van Oostendorp, Marc","Cavirani, Edoardo and van Oostendorp, Marc. 2019. Empty morphemes in Dutch dialect atlases: Reducing morphosyntactic variation by refining emptiness typology. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",8
glossa5196,Floating quantifiers are autonomous phrases: A movement analysis,,"Al Khalaf, Eman","Al Khalaf, Eman. 2019. Floating quantifiers are autonomous phrases: A movement analysis. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",73
glossa5197,On the nature of the discourse effect on extraction in Japanese,,"Yano, Masataka","Yano, Masataka. 2019. On the nature of the discourse effect on extraction in Japanese. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",21
glossa5198,Concord and agreement features in Modern Standard Arabic,,"Winchester, Lindley","Winchester, Lindley. 2019. Concord and agreement features in Modern Standard Arabic. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",11
glossa5199,A syntax for semantic incorporation: generating low-scope indefinite objects in Inuktitut,,"Branigan, Phil and Wharram, Douglas","Branigan, Phil and Wharram, Douglas. 2019. A syntax for semantic incorporation: generating low-scope indefinite objects in Inuktitut. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",40
glossa5200,"Towards a correlation of form, use and meaning of German ge-prefixed predicative participles",,"Pross, Tillmann and Roßdeutscher, Antje","Pross, Tillmann and Roßdeutscher, Antje. 2019. Towards a correlation of form, use and meaning of German ge-prefixed predicative participles. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",96
glossa5201,Moraic Domains between feet and syllables: An argument from vowel reduction typology,,"Nazarov, Aleksei","Nazarov, Aleksei. 2019. Moraic Domains between feet and syllables: An argument from vowel reduction typology. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5202,‘Embu’ Wh- questions in Cypriot Greek: A comparative study,,"Kanikli, Antri and Tsoulas, George","Kanikli, Antri and Tsoulas, George. 2019. ‘Embu’ Wh- questions in Cypriot Greek: A comparative study. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",80
glossa5203,Antecedent accessibility and exceptional covariation: Evidence from Norwegian Donkey Pronouns,,"Kush, Dave and Eik, Ragnhild","Kush, Dave and Eik, Ragnhild. 2019. Antecedent accessibility and exceptional covariation: Evidence from Norwegian Donkey Pronouns. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5204,A feeding Duke-of-York interaction of tone and epenthesis in Arapaho,,"Gleim, Daniel","Gleim, Daniel. 2019. A feeding Duke-of-York interaction of tone and epenthesis in Arapaho. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5205,Objects in motion verb phrases,,"Biggs, Alison","Biggs, Alison. 2019. Objects in motion verb phrases. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",12
glossa5206,Q-particles and the nature of covert movement: Evidence from Bùlì,,"Sulemana, Abdul-Razak","Sulemana, Abdul-Razak. 2019. Q-particles and the nature of covert movement: Evidence from Bùlì. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",102
glossa5207,Ellipsis licensing and redundancy reduction: A focus-based approach,,"Barros, Matthew and Kotek, Hadas","Barros, Matthew and Kotek, Hadas. 2019. Ellipsis licensing and redundancy reduction: A focus-based approach. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",4
glossa5208,What usage can tell us about grammar: Embedded verb second in Scandinavian,,"Caplan, Spencer and Djärv, Kajsa","Caplan, Spencer and Djärv, Kajsa. 2019. What usage can tell us about grammar: Embedded verb second in Scandinavian. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",20
glossa5209,The Agreement Theta Generalization,,"Polinsky, Maria and Preminger, Omer","Polinsky, Maria and Preminger, Omer. 2019. The Agreement Theta Generalization. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",7
glossa5210,Intonational phonology of Boro,,"Das, Kalyan and Mahanta, Shakuntala","Das, Kalyan and Mahanta, Shakuntala. 2019. Intonational phonology of Boro. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",22
glossa5211,An investigation of numeral quantifiers in English,,"Brendel, Cole Ira","Brendel, Cole Ira. 2019. An investigation of numeral quantifiers in English. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5212,The syntax and semantics of past participle agreement in Alemannic,,"Salzmann, Martin and Schaden, Gerhard","Salzmann, Martin and Schaden, Gerhard. 2019. The syntax and semantics of past participle agreement in Alemannic. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",136
glossa5213,Microparameters and language variation,,"Li, Yen-hui Audrey and Wei, Wei Haley","Li, Yen-hui Audrey and Wei, Wei Haley. 2019. Microparameters and language variation. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",121
glossa5214,Contrast and word order: A case study on the history of Portuguese,,"de Andrade, Aroldo and Galves, Charlotte","de Andrade, Aroldo and Galves, Charlotte. 2019. Contrast and word order: A case study on the history of Portuguese. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",58
glossa5215,Origin and structure of focus concord constructions in Old Japanese – a synthesis,,"Narrog, Heiko","Narrog, Heiko. 2019. Origin and structure of focus concord constructions in Old Japanese – a synthesis. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",45
glossa5216,"Participles: Form, use and meaning",,"Borik, Olga and Gehrke, Berit","Borik, Olga and Gehrke, Berit. 2019. Participles: Form, use and meaning. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",35
glossa5217,Can gapping be embedded? Experimental evidence from Spanish,,"Bîlbîie, Gabriela and de la Fuente, Israel","Bîlbîie, Gabriela and de la Fuente, Israel. 2019. Can gapping be embedded? Experimental evidence from Spanish. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",40
glossa5218,Partitives and Partitivity,,"Falco, Michelangelo and Zamparelli, Roberto","Falco, Michelangelo and Zamparelli, Roberto. 2019. Partitives and Partitivity. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",56
glossa5219,Templatic morphology through syntactic selection: Valency-changing extensions in Kinyarwanda,,"Banerjee, Neil","Banerjee, Neil. 2019. Templatic morphology through syntactic selection: Valency-changing extensions in Kinyarwanda. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",67
glossa5220,Numerals under negation: Empirical findings,,"Solt, Stephanie and Waldon, Brandon","Solt, Stephanie and Waldon, Brandon. 2019. Numerals under negation: Empirical findings. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5221,Verbal mismatch in Right-Node Raising,,"Shiraïshi, Aoi and Abeillé, Anne and Hemforth, Barbara and Miller, Philip","Shiraïshi, Aoi and Abeillé, Anne and Hemforth, Barbara and Miller, Philip. 2019. Verbal mismatch in Right-Node Raising. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",9
glossa5222,Subject/non-subject movement asymmetries in Late Archaic Chinese,,"Aldridge, Edith","Aldridge, Edith. 2019. Subject/non-subject movement asymmetries in Late Archaic Chinese. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",98
glossa5223,On the status of Concordantia Temporum in Spanish: An experimental approach,,"Guajardo, Gustavo and Goodall, Grant","Guajardo, Gustavo and Goodall, Grant. 2019. On the status of Concordantia Temporum in Spanish: An experimental approach. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",25
glossa5224,Syntactic and cognitive issues in investigating gendered coreference,,"Ackerman, Lauren","Ackerman, Lauren. 2019. Syntactic and cognitive issues in investigating gendered coreference. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",7
glossa5225,Reconstructing Clitic Doubling,,"Angelopoulos, Nikos","Angelopoulos, Nikos. 2019. Reconstructing Clitic Doubling. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",51
glossa5226,Mismatches in free relatives – grafting nanosyntactic trees,,"Bergsma, Fenna","Bergsma, Fenna. 2019. Mismatches in free relatives – grafting nanosyntactic trees. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",25
glossa5227,Eppur non si muove: Experimental evidence for the Unaccusative Hypothesis and distinct ɸ-feature processing in Basque,,"de la Hidalga, Gillen Martinez and Zawiszewski, Adam and Laka, Itziar","de la Hidalga, Gillen Martinez and Zawiszewski, Adam and Laka, Itziar. 2019. Eppur non si muove: Experimental evidence for the Unaccusative Hypothesis and distinct ɸ-feature processing in Basque. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",14
glossa5228,Gender Representation and Defaults in Lithuanian,,"Adamson, Luke and Šereikaitė, Milena","Adamson, Luke and Šereikaitė, Milena. 2019. Gender Representation and Defaults in Lithuanian. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",117
glossa5229,Estimating child linguistic experience from historical corpora,,"Kodner, Jordan","Kodner, Jordan. 2019. Estimating child linguistic experience from historical corpora. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5230,The relationship between verbal form and event structure in sign languages,,"Davidson, Kathryn and Kocab, Annemarie and Sims, Andrea D. and Wagner, Laura","Davidson, Kathryn and Kocab, Annemarie and Sims, Andrea D. and Wagner, Laura. 2019. The relationship between verbal form and event structure in sign languages. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",6
glossa5231,"Did language evolve through language change? On language change, language evolution and grammaticalization theory",,"Mendívil-Giró, José-Luis","Mendívil-Giró, José-Luis. 2019. Did language evolve through language change? On language change, language evolution and grammaticalization theory. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5232,An exploratory study of voicing-related differences in vowel duration as compensatory temporal adjustment in Italian and Polish,,"Coretta, Stefano","Coretta, Stefano. 2019. An exploratory study of voicing-related differences in vowel duration as compensatory temporal adjustment in Italian and Polish. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5233,Focus particles and negative scope: Both evidence for syntactic integration?,,"Eberhardt, Ira and Featherston, Sam","Eberhardt, Ira and Featherston, Sam. 2019. Focus particles and negative scope: Both evidence for syntactic integration?. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",6
glossa5234,Intervention effects in wh-chains: the combined effect of syntax and processing,,"Barbosa, Pilar and De Cat, Cécile","Barbosa, Pilar and De Cat, Cécile. 2019. Intervention effects in wh-chains: the combined effect of syntax and processing. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",41
glossa5235,"Japanese internally-headed and doubly-headed relative constructions, and a comparison of two approaches",,"Grosu, Alexander and Hoshi, Koji","Grosu, Alexander and Hoshi, Koji. 2019. Japanese internally-headed and doubly-headed relative constructions, and a comparison of two approaches. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",40
glossa5236,Usage patterns in the development of Hebrew grammatical subjects,,"Dattner, Elitzur and Kertes, Liron and Zwilling, Racehli and Ravid, Dorit","Dattner, Elitzur and Kertes, Liron and Zwilling, Racehli and Ravid, Dorit. 2019. Usage patterns in the development of Hebrew grammatical subjects. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",49
glossa5237,Dispositions and characterizing sentences,,"Boneh, Nora","Boneh, Nora. 2019. Dispositions and characterizing sentences. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",4
glossa5238,The phonology and micro-typology of Arabic R,,"Youssef, Islam","Youssef, Islam. 2019. The phonology and micro-typology of Arabic R. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5239,Rethinking templates: A syntactic analysis of verbal morphology in Emirati Arabic,,"Al Kaabi, Meera and Ntelitheos, Dimitrios","Al Kaabi, Meera and Ntelitheos, Dimitrios. 2019. Rethinking templates: A syntactic analysis of verbal morphology in Emirati Arabic. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",99
glossa5240,Young vs. old Koreans’ vowel insertion after word-final English and French postvocalic plosives: A case of contact-induced borrowing change,,"Kim, Hyunsoon and Kim, Junyeop","Kim, Hyunsoon and Kim, Junyeop. 2019. Young vs. old Koreans’ vowel insertion after word-final English and French postvocalic plosives: A case of contact-induced borrowing change. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5241,Language disintegration under conditions of severe formal thought disorder,,"Tovar Torres, Antonia and Nieto, Wolfgang Sebastian Schmeisser and Soler, Aina Garí and Matamalas, Catalina Morey and Hinzen, Wolfram","Tovar Torres, Antonia and Nieto, Wolfgang Sebastian Schmeisser and Soler, Aina Garí and Matamalas, Catalina Morey and Hinzen, Wolfram. 2019. Language disintegration under conditions of severe formal thought disorder. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5242,The role of prosody in overt pronoun resolution in a null subject language and in a non-null subject language: A production study,,"Gargiulo, Chiara and Tronnier, Mechtild and Bernardini, Petra","Gargiulo, Chiara and Tronnier, Mechtild and Bernardini, Petra. 2019. The role of prosody in overt pronoun resolution in a null subject language and in a non-null subject language: A production study. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",9
glossa5243,Mbyá resultatives and the structure of causation,,"Thomas, Guillaume","Thomas, Guillaume. 2019. Mbyá resultatives and the structure of causation. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",90
glossa5244,The grammaticalisation of a copula in vernacular Arabic,,"Camilleri, Maris and Sadler, Louisa","Camilleri, Maris and Sadler, Louisa. 2019. The grammaticalisation of a copula in vernacular Arabic. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",97
glossa5245,On reconstruction effects in English wh-slifting: Theoretical and experimental considerations,,"Vlachos, Christos and Christou, Nikoletta and Grohmann, Kleanthes K.","Vlachos, Christos and Christou, Nikoletta and Grohmann, Kleanthes K. 2019. On reconstruction effects in English wh-slifting: Theoretical and experimental considerations. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",0
glossa5246,Raising applicatives and possessors in Tagalog,,"Nie, Yining","Nie, Yining. 2019. Raising applicatives and possessors in Tagalog. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",74
glossa5247,Head movement to specifier positions,,"Harizanov, Boris","Harizanov, Boris. 2019. Head movement to specifier positions. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",65
glossa5248,Inducing and blocking labeling,,"Miyagawa, Shigeru and Wu, Danfeng and Koizumi, Masatoshi","Miyagawa, Shigeru and Wu, Danfeng and Koizumi, Masatoshi. 2019. Inducing and blocking labeling. Glossa: a journal of general linguistics 4(1). Open Library of Humanities.",54
glossa5249,Category-specific effects in Welsh mutation,,"Hammond, Michael and Bell, Elise and Anderson, Skye and Webb-Davies, Peredur and Ohala, Diane and Carnie, Andrew and Brooks, Heddwen","Hammond, Michael and Bell, Elise and Anderson, Skye and Webb-Davies, Peredur and Ohala, Diane and Carnie, Andrew and Brooks, Heddwen. 2020. Category-specific effects in Welsh mutation. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",10
glossa5250,Language design and communicative competence: The minimalist perspective,,"Murphy, Elliot","Murphy, Elliot. 2020. Language design and communicative competence: The minimalist perspective. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5251,"Discourse particles in early English: Clause structure, pragmatics and discourse management",,"van Kemenade, Ans and Links, Meta","van Kemenade, Ans and Links, Meta. 2020. Discourse particles in early English: Clause structure, pragmatics and discourse management. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",31
glossa5252,Subject and non-subject ex-situ focus in Dagbani,,"Issah, Samual A. and Smith, Peter W.","Issah, Samual A. and Smith, Peter W. 2020. Subject and non-subject ex-situ focus in Dagbani. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",81
glossa5253,Modality force and syntax in an understudied class of reduced why-questions in English,,"Zaitsu, Anissa","Zaitsu, Anissa. 2020. Modality force and syntax in an understudied class of reduced why-questions in English. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5254,"The incremental processing of focus, givenness and prosodic prominence",,"Baumann, Stefan and Schumacher, Petra B.","Baumann, Stefan and Schumacher, Petra B. 2020. The incremental processing of focus, givenness and prosodic prominence. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5255,"Not Known: Anonymous, Unknown or Non-known? A pilot test on the interpretation of negated absolute adjectives in Romanian",,"Albu, Elena","Albu, Elena. 2020. Not Known: Anonymous, Unknown or Non-known? A pilot test on the interpretation of negated absolute adjectives in Romanian. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5256,Resumption as a sluicing source in Saudi Arabic: Evidence from sluicing with prepositional phrases,,"Alshaalan, Yara and Abels, Klaus","Alshaalan, Yara and Abels, Klaus. 2020. Resumption as a sluicing source in Saudi Arabic: Evidence from sluicing with prepositional phrases. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",70
glossa5257,Applied arguments in Spanish inchoative middle constructions,,"Suárez-Palma, Imanol","Suárez-Palma, Imanol. 2020. Applied arguments in Spanish inchoative middle constructions. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",86
glossa5258,Expressive Sibilant Retraction in North Norwegian: morpheme or ‘spoken gesture’?,,"Bye, Patrik","Bye, Patrik. 2020. Expressive Sibilant Retraction in North Norwegian: morpheme or ‘spoken gesture’?. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",84
glossa5259,Initial lenition and strength alternations (v/b) in Neapolitan: A laryngeal Branchingness condition,,"Russo, Michela and Ulfsbjorninn, Shanti","Russo, Michela and Ulfsbjorninn, Shanti. 2020. Initial lenition and strength alternations (v/b) in Neapolitan: A laryngeal Branchingness condition. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",10
glossa5260,Restructuring and the scope of negation in Hindi-Urdu,,"Homer, Vincent and Bhatt, Rajesh","Homer, Vincent and Bhatt, Rajesh. 2020. Restructuring and the scope of negation in Hindi-Urdu. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",93
glossa5261,The derivation of highest subject questions and the nature of the EPP,,"Messick, Troy","Messick, Troy. 2020. The derivation of highest subject questions and the nature of the EPP. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",6
glossa5262,Constraints on German diese demonstratives: language formality and subject-avoidance,,"Patil, Umesh and Bosch, Peter and Hinterwimmer, Stefan","Patil, Umesh and Bosch, Peter and Hinterwimmer, Stefan. 2020. Constraints on German diese demonstratives: language formality and subject-avoidance. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",17
glossa5263,"The head of the nominal is N, not D: N-to-D Movement, Hybrid Agreement, and conventionalized expressions",,"Bruening, Benjamin","Bruening, Benjamin. 2020. The head of the nominal is N, not D: N-to-D Movement, Hybrid Agreement, and conventionalized expressions. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",9
glossa5264,“We Olaf”: Pro[(x-)NP] constructions in Icelandic and beyond,,"Sigurðsson, Halldór Ármann and Wood, Jim","Sigurðsson, Halldór Ármann and Wood, Jim. 2020. “We Olaf”: Pro[(x-)NP] constructions in Icelandic and beyond. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",38
glossa5265,Crossing and stranding at edges: On intermediate stranding and phase theory,,"Davis, Colin","Davis, Colin. 2020. Crossing and stranding at edges: On intermediate stranding and phase theory. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",46
glossa5266,"Conjunction resolution is nonsyntactic, say paucals",,"Harbour, Daniel","Harbour, Daniel. 2020. Conjunction resolution is nonsyntactic, say paucals. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",6
glossa5267,Viewing dialect change through acceptability judgments: A case study in Shetland dialect,,"Jamieson, E","Jamieson, E. 2020. Viewing dialect change through acceptability judgments: A case study in Shetland dialect. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",2
glossa5268,XP- and X⁰-movement in the Latin verb: Evidence from mirroring and anti-mirroring,,"Zyman, Erik and Kalivoda, Nick","Zyman, Erik and Kalivoda, Nick. 2020. XP- and X⁰-movement in the Latin verb: Evidence from mirroring and anti-mirroring. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",51
glossa5269,Island effects in Spanish comprehension,,"Pañeda, Claudia and Lago, Sol and Vares, Elena and Veríssimo, João and Felser, Claudia","Pañeda, Claudia and Lago, Sol and Vares, Elena and Veríssimo, João and Felser, Claudia. 2020. Island effects in Spanish comprehension. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",20
glossa5270,Hybrid intransitives in Basque,,"Pineda, Anna and Berro, Ane","Pineda, Anna and Berro, Ane. 2020. Hybrid intransitives in Basque. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",49
glossa5271,How to be positive,,"Wyngaerd, Guido Vanden and Starke, Michal and De Clercq, Karen and Caha, Pavel","Wyngaerd, Guido Vanden and Starke, Michal and De Clercq, Karen and Caha, Pavel. 2020. How to be positive. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",2
glossa5272,French schwa and gradient cumulativity,,"Smith, Brian W. and Pater, Joe","Smith, Brian W. and Pater, Joe. 2020. French schwa and gradient cumulativity. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",50
glossa5273,A “borderline case” of syntactic variation,,"Brandner, Ellen","Brandner, Ellen. 2020. A “borderline case” of syntactic variation. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",27
glossa5274,"Left branch extraction, object shift, and freezing effects in Tumbalá Ch’ol",,"Little, Carol-Rose","Little, Carol-Rose. 2020. Left branch extraction, object shift, and freezing effects in Tumbalá Ch’ol. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",101
glossa5275,Object attraction and the role of structural hierarchy: Evidence from Persian,,"Franck, Julie and Mirdamadi, Farhad and Kahnemuyipour, Arsalan","Franck, Julie and Mirdamadi, Farhad and Kahnemuyipour, Arsalan. 2020. Object attraction and the role of structural hierarchy: Evidence from Persian. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",14
glossa5276,Anti-reflexivity and logophoricity: an account of unexpected reflexivization contrasts,,"Varaschin, Giuseppe","Varaschin, Giuseppe. 2020. Anti-reflexivity and logophoricity: an account of unexpected reflexivization contrasts. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5277,Verbalizing nouns and adjectives: The case of behavior-related verbs,,"Martin, Fabienne and Pinon, Christopher","Martin, Fabienne and Pinon, Christopher. 2020. Verbalizing nouns and adjectives: The case of behavior-related verbs. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",56
glossa5278,In situ mixed wh-coordination and the argument/adjunct distinction,,"Zyman, Erik","Zyman, Erik. 2020. In situ mixed wh-coordination and the argument/adjunct distinction. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",4
glossa5279,The structure of Polish numerically-quantified expressions,,"Lyskawa, Paulina","Lyskawa, Paulina. 2020. The structure of Polish numerically-quantified expressions. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",87
glossa5280,Vowel unpredictability in Hijazi Arabic monosyllabic verbs,,"Ahyad, Honaida and Becker, Michael","Ahyad, Honaida and Becker, Michael. 2020. Vowel unpredictability in Hijazi Arabic monosyllabic verbs. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5281,A biclausal account of Clitic Left-Dislocations with epithets in Rioplatense Spanish,,"Estigarribia, Bruno","Estigarribia, Bruno. 2020. A biclausal account of Clitic Left-Dislocations with epithets in Rioplatense Spanish. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",38
glossa5282,The many functions of Cuzco Quechua =pas: implications for the semantic map of additivity,,"Faller, Martina","Faller, Martina. 2020. The many functions of Cuzco Quechua =pas: implications for the semantic map of additivity. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",61
glossa5283,Priming quantifier scope: Reexamining the evidence against scope inversion,,"Feiman, Roman and Maldonado, Mora and Snedeker, Jesse","Feiman, Roman and Maldonado, Mora and Snedeker, Jesse. 2020. Priming quantifier scope: Reexamining the evidence against scope inversion. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",0
glossa5284,On EPP effects and the properties of Core Functional Categories,,"Fernández-Salgueiro, Gerardo","Fernández-Salgueiro, Gerardo. 2020. On EPP effects and the properties of Core Functional Categories. Glossa: a journal of general linguistics 5(1). Open Library of Humanities.",31
