ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
goth1244,Gothic,,46.9304,29.9786,goth1244,,7,1.9459101490553132
para1311,Paraguayan Guaraní,,-25.60551,-57.08816,para1311,,3,1.0986122886681098
malt1254,Maltese,,35.8884,14.4508,malt1254,,106,4.663439094112067
liby1240,Libyan Arabic,,22.0032,15.0014,liby1240,,10,2.302585092994046
chad1249,Chadian Arabic,,14.67,13.5,chad1249,,10,2.302585092994046
alge1239,Algerian Arabic,,35.4208,3.23033,alge1239,,5,1.6094379124341003
nezp1238,Nez Perce,,46.3073,-116.408,nezp1238,,13,2.5649493574615367
nand1264,Nande,,-0.24904,29.0243,nand1264,,60,4.0943445622221
wels1247,Welsh,,52.0,-4.0,wels1247,,36,3.58351893845611
berb1260,Berber,,,,berb1260,,19,2.9444389791664403
kusa1250,Kusaal,,10.9703,-0.38756,kusa1250,,2,0.6931471805599453
siss1242,Sissala of Burkina Faso,,11.0916,-2.38217,siss1242,,4,1.3862943611198906
defa1248,Defaka,,4.58451,7.50186,defa1248,,7,1.9459101490553132
yape1248,Yapese,,9.55811,138.125,yape1248,,1,0.0
moki1238,Mokilese,,6.65651,159.776,moki1238,,1,0.0
kpel1252,Kpelle,,,,kpel1252,,11,2.3978952727983707
daur1238,Dagur,,48.0,124.0,daur1238,,87,4.465908118654584
bela1258,Belanda,,,,bela1258,,1,0.0
alem1243,Alemannic,,,,alem1243,,1,0.0
kado1242,Kado,,21.5259,100.092,kado1242,,5,1.6094379124341003
hmon1333,Hmong Daw,,21.5461,103.164,hmon1333,,92,4.5217885770490405
kuri1259,Kuria,,-1.50636,34.5049,kuri1259,,53,3.970291913552122
luok1236,Luo (Kenya and Tanzania),,-0.93296,34.4896,luok1236,,1,0.0
riop1234,Rioplatense Spanish,,,,riop1234,,39,3.6635616461296463
huam1248,Huamalíes-Dos de Mayo Huánuco Quechua,,-9.15718,-76.3372,huam1248,,2,0.6931471805599453
shek1245,Sheko,,7.05022,35.2826,shek1245,,3,1.0986122886681098
udih1248,Udihe,,46.63086,135.67762,udih1248,,17,2.833213344056216
mode1257,Modern Dutch,,,,mode1257,,2,0.6931471805599453
